cluster,merged
1,1
2,1
3,1
4,1
5,5
6,1
7,1
8,1
9,1
10,1
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,1
24,1
25,5
26,1
27,1
28,5
29,1
30,1
31,1
32,1
33,1
34,1
36,5
37,5
38,5
39,5
40,5
41,5
42,5
44,5
45,5
46,5
47,5
48,1
49,5
50,5
51,1
52,1
53,1
54,1
55,1
56,1
57,5
58,5
59,5
60,1
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,1
69,5
70,5
71,5
72,5
73,1
74,5
75,5
76,1
77,1
78,1
79,79
80,1
81,1
82,1
83,5
84,5
85,5
86,1
87,1
88,5
89,5
90,5
91,5
92,5
93,1
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,1
102,1
103,5
104,1
105,5
106,1
107,1
108,5
109,1
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,1
120,5
121,5
122,5
123,5
124,5
125,5
126,79
127,1
128,1
129,1
130,5
131,5
132,1
133,5
134,5
135,5
136,1
137,5
138,1
139,5
140,5
141,5
142,5
143,5
144,1
145,1
146,146
147,1
149,5
150,5
151,79
152,5
153,5
154,1
155,5
156,1
157,5
158,5
159,5
160,1
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,1
169,1
170,1
171,146
172,1
173,1
174,5
175,5
176,1
177,1
178,146
179,1
180,5
181,5
182,5
183,5
184,5
185,5
186,1
187,1
188,1
189,5
190,5
191,5
194,146
195,1
196,146
197,1
199,1
201,1
202,1
203,1
204,1
205,5
206,1
207,5
208,5
209,5
210,5
211,5
212,5
213,1
214,1
215,5
216,5
217,1
218,1
219,146
220,146
221,1
222,1
224,1
225,1
226,1
227,5
228,1
229,1
230,5
231,1
232,1
233,5
234,5
235,5
236,5
237,5
238,1
239,5
240,5
242,1
243,146
244,146
245,1
246,1
247,1
248,1
249,1
250,1
251,79
252,1
253,5
254,1
255,1
256,1
257,79
258,1
259,5
260,1
261,5
262,5
263,5
264,5
265,1
267,146
269,1
270,1
271,1
272,1
273,146
276,5
277,1
278,5
279,1
280,79
281,1
282,5
283,1
284,1
285,5
286,5
287,5
288,5
289,1
290,1
291,1
292,146
293,146
294,146
295,1
297,1
298,146
300,1
301,1
302,1
303,5
304,1
305,1
307,1
308,1
311,5
312,5
313,5
315,5
317,1
318,146
319,1
320,1
321,1
322,146
323,1
324,1
325,1
326,1
327,146
328,1
329,79
331,1
332,1
333,1
334,1
339,5
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,146
348,1
349,1
350,5
351,79
352,5
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,5
362,1
363,146
365,146
366,5
367,146
368,5
369,1
370,1
371,1
373,1
374,1
375,5
376,1
377,5
378,1
379,1
380,1
381,79
382,1
383,1
384,1
385,1
386,1
387,1
388,5
389,5
390,146
391,5
392,5
393,5
394,5
395,1
396,5
397,1
399,1
400,5
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
412,1
413,1
415,146
416,5
417,5
418,5
421,1
423,1
424,1
425,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,5
437,1
438,5
439,5
441,1
442,5
443,5
444,5
445,1
446,1
447,5
449,1
450,79
451,79
452,1
453,79
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,5
465,5
466,146
467,5
468,1
469,5
470,1
471,1
472,5
473,5
474,5
475,1
477,1
478,1
479,79
480,1
481,1
482,1
484,79
485,1
486,5
487,1
488,146
489,1
490,5
492,5
494,5
495,5
496,1
497,1
498,5
499,5
500,146
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,79
510,1
511,5
512,1
513,1
516,1
517,1
518,1
521,1
522,5
523,5
524,1
525,1
526,1
527,1
528,1
529,1
531,1
532,1
533,1
534,1
535,5
536,5
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,5
546,5
547,1
548,5
549,79
550,5
551,5
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,79
574,5
575,5
576,1
577,1
578,1
579,1
580,1
581,1
582,79
583,79
584,5
585,1
586,1
587,1
588,1
590,146
593,5
594,1
595,5
596,1
597,5
598,1
599,5
600,5
601,5
602,5
603,1
604,5
605,1
606,5
607,79
608,5
609,1
610,1
611,1
612,1
613,79
615,1
616,1
617,1
618,5
619,1
620,1
621,146
622,1
623,1
624,5
625,5
